Date,DateType,Reason
11/14/2015 00:00:00,Rain,Missing
11/15/2015 00:00:00,Rain,Missing
11/16/2015 00:00:00,Rain,Missing
11/17/2015 00:00:00,Rain,Missing
11/18/2015 00:00:00,Rain,Missing
11/19/2015 00:00:00,Rain,Missing
11/20/2015 00:00:00,Rain,Missing
11/21/2015 00:00:00,Rain,Missing
11/22/2015 00:00:00,Rain,Missing
11/23/2015 00:00:00,Rain,Missing
11/24/2015 00:00:00,Rain,Missing
11/25/2015 00:00:00,Rain,Missing
11/26/2015 00:00:00,Rain,Missing
11/27/2015 00:00:00,Rain,Missing
11/28/2015 00:00:00,Rain,Missing
11/29/2015 00:00:00,Rain,Missing
11/30/2015 00:00:00,Rain,Missing
12/01/2015 00:00:00,Rain,Missing
12/02/2015 00:00:00,Rain,Missing
12/03/2015 00:00:00,Rain,Missing
12/04/2015 00:00:00,Rain,Missing
12/05/2015 00:00:00,Rain,Missing
12/06/2015 00:00:00,Rain,Missing
12/07/2015 00:00:00,Rain,Missing
12/08/2015 00:00:00,Rain,Missing
12/09/2015 00:00:00,Rain,Missing
12/10/2015 00:00:00,Rain,Missing
12/11/2015 00:00:00,Rain,Missing
12/12/2015 00:00:00,Rain,Missing
12/13/2015 00:00:00,Rain,Missing
12/14/2015 00:00:00,Rain,Missing
12/15/2015 00:00:00,Rain,Missing
12/16/2015 00:00:00,Rain,Missing
12/17/2015 00:00:00,Rain,Missing
12/18/2015 00:00:00,Rain,Missing
12/19/2015 00:00:00,Rain,Missing
12/20/2015 00:00:00,Rain,Missing
12/21/2015 00:00:00,Rain,Missing
12/22/2015 00:00:00,Rain,Missing
12/23/2015 00:00:00,Rain,Missing
12/24/2015 00:00:00,Rain,Missing
12/25/2015 00:00:00,Rain,Missing
12/26/2015 00:00:00,Rain,Missing
12/27/2015 00:00:00,Rain,Missing
12/28/2015 00:00:00,Rain,Missing
12/29/2015 00:00:00,Rain,Missing
12/30/2015 00:00:00,Rain,Missing
12/31/2015 00:00:00,Rain,Missing
01/01/2016 00:00:00,Rain,Missing
01/02/2016 00:00:00,Rain,Missing
01/03/2016 00:00:00,Rain,Missing
01/04/2016 00:00:00,Rain,Missing
01/05/2016 00:00:00,Rain,Missing
01/06/2016 00:00:00,Rain,Missing
01/07/2016 00:00:00,Rain,Missing
01/08/2016 00:00:00,Rain,Missing
01/09/2016 00:00:00,Rain,Missing
01/10/2016 00:00:00,Rain,Missing
01/11/2016 00:00:00,Rain,Missing
01/12/2016 00:00:00,Rain,Missing
01/13/2016 00:00:00,Rain,Missing
01/14/2016 00:00:00,Rain,Missing
01/15/2016 00:00:00,Rain,Missing
01/16/2016 00:00:00,Rain,Missing
01/17/2016 00:00:00,Rain,Missing
01/18/2016 00:00:00,Rain,Missing
01/19/2016 00:00:00,Rain,Missing
01/20/2016 00:00:00,Rain,Missing
01/21/2016 00:00:00,Rain,Missing
01/22/2016 00:00:00,Rain,Missing
01/23/2016 00:00:00,Rain,Missing
01/24/2016 00:00:00,Rain,Missing
01/25/2016 00:00:00,Rain,Missing
01/26/2016 00:00:00,Rain,Missing
01/27/2016 00:00:00,Rain,Missing
01/28/2016 00:00:00,Rain,Missing
01/29/2016 00:00:00,Rain,Missing
01/30/2016 00:00:00,Rain,Missing
01/31/2016 00:00:00,Rain,Missing
02/01/2016 00:00:00,Rain,Missing
02/02/2016 00:00:00,Rain,Missing
02/03/2016 00:00:00,Rain,Missing
02/04/2016 00:00:00,Rain,Missing
02/05/2016 00:00:00,Rain,Missing
02/06/2016 00:00:00,Rain,Missing
02/07/2016 00:00:00,Rain,Missing
02/08/2016 00:00:00,Rain,Missing
02/09/2016 00:00:00,Rain,Missing
02/10/2016 00:00:00,Rain,Missing
02/11/2016 00:00:00,Rain,Missing
02/12/2016 00:00:00,Rain,Missing
02/13/2016 00:00:00,Rain,Missing
02/14/2016 00:00:00,Rain,Missing
02/15/2016 00:00:00,Rain,Missing
02/16/2016 00:00:00,Rain,Missing
